Region,Province,Age_Group,Male,Female,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),55 - 59,22791,22058,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),50 - 54,28740,27000,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),0 - 4,69113,64657,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),30 - 34,48829,44335,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),40 - 44,37919,34420,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),35 - 39,41702,38428,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),25 - 29,52997,50610,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),20 - 24,57587,54360,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),15 - 19,66001,63361,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),>= 80,3750,6178,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),5 - 9,75024,70151,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),45 - 49,33067,30346,,
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),10 - 14,73264,68719,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,45 - 49,29133,27165,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,75 - 79,3900,4736,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,0 - 4,60695,57273,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,5 - 9,60662,57386,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,10 - 14,58807,55394,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,15 - 19,53249,50928,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,20 - 24,49296,48223,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,25 - 29,48041,45898,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,30 - 34,45787,42525,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,35 - 39,39388,35912,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,40 - 44,35196,31976,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,50 - 54,25117,23991,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,55 - 59,20992,20372,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,60 - 64,17533,17644,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,65 - 69,12349,12565,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,70 - 74,7276,7712,,
REGION XI (DAVAO REGION),DAVAO DEL NORTE,>= 80,3239,4807,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,10 - 14,124937,118032,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,>= 80,6450,10937,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,75 - 79,7722,10578,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,70 - 74,15155,18424,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,65 - 69,25732,28818,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,60 - 64,36995,39254,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,55 - 59,44324,45326,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,50 - 54,53981,53454,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,45 - 49,65309,60999,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,40 - 44,78016,71738,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,35 - 39,87037,80334,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,30 - 34,103122,94934,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,25 - 29,111569,107123,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,20 - 24,117384,115679,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,15 - 19,113562,110347,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,0 - 4,127543,120253,,
REGION XI (DAVAO REGION),DAVAO DEL SUR,5 - 9,127365,118012,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,35 - 39,10043,8456,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,>= 80,1004,1429,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,75 - 79,899,1056,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,70 - 74,1706,1836,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,65 - 69,2934,2942,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,60 - 64,4400,4306,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,55 - 59,5590,4733,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,45 - 49,8284,7249,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,40 - 44,9000,7860,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,50 - 54,6574,6088,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,25 - 29,12381,11298,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,20 - 24,13886,12881,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,15 - 19,16340,15629,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,10 - 14,19744,19017,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,5 - 9,20129,19244,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,0 - 4,19613,18508,,
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,30 - 34,11794,10054,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,40 - 44,17127,14631,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,10 - 14,33179,31461,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,15 - 19,29871,28856,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,20 - 24,25876,24258,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,25 - 29,22716,20538,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,30 - 34,20930,18547,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,35 - 39,18019,15215,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,45 - 49,15600,13904,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,5 - 9,33104,31339,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,55 - 59,11746,11016,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,60 - 64,9401,9164,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,65 - 69,6378,6762,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,70 - 74,4135,4541,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,75 - 79,2334,2886,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,>= 80,2075,3181,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,50 - 54,13966,12889,,
REGION XI (DAVAO REGION),DAVAO ORIENTAL,0 - 4,30648,28691,,
REGION XIII (CARAGA),DINAGAT ISLANDS,10 - 14,7040,6569,,
REGION XIII (CARAGA),DINAGAT ISLANDS,0 - 4,6683,6307,,
REGION XIII (CARAGA),DINAGAT ISLANDS,15 - 19,6902,6384,,
REGION XIII (CARAGA),DINAGAT ISLANDS,45 - 49,3160,3020,,
REGION XIII (CARAGA),DINAGAT ISLANDS,>= 80,756,1031,,
REGION XIII (CARAGA),DINAGAT ISLANDS,75 - 79,858,1040,,
REGION XIII (CARAGA),DINAGAT ISLANDS,70 - 74,1146,1480,,
REGION XIII (CARAGA),DINAGAT ISLANDS,60 - 64,2078,2251,,
REGION XIII (CARAGA),DINAGAT ISLANDS,55 - 59,2527,2541,,
REGION XIII (CARAGA),DINAGAT ISLANDS,50 - 54,2947,2868,,
REGION XIII (CARAGA),DINAGAT ISLANDS,65 - 69,1649,1792,,
REGION XIII (CARAGA),DINAGAT ISLANDS,40 - 44,3376,2954,,
REGION XIII (CARAGA),DINAGAT ISLANDS,35 - 39,3708,3312,,
REGION XIII (CARAGA),DINAGAT ISLANDS,30 - 34,4368,3986,,
REGION XIII (CARAGA),DINAGAT ISLANDS,25 - 29,5101,4812,,
REGION XIII (CARAGA),DINAGAT ISLANDS,20 - 24,5736,5578,,
REGION XIII (CARAGA),DINAGAT ISLANDS,5 - 9,7163,6840,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,45 - 49,12403,11106,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,75 - 79,2872,3594,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,70 - 74,4265,4717,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,65 - 69,5714,5835,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,60 - 64,7872,7660,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,55 - 59,9742,8673,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,50 - 54,11234,10323,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,40 - 44,13428,11823,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,>= 80,2442,4201,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,30 - 34,15982,13999,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,25 - 29,18438,16752,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,20 - 24,22921,20847,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,15 - 19,26864,25033,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,10 - 14,26933,25190,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,5 - 9,26335,24435,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,0 - 4,24738,22926,,
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,35 - 39,14145,12405,,
REGION VI (WESTERN VISAYAS),GUIMARAS,25 - 29,7698,7408,,
REGION VI (WESTERN VISAYAS),GUIMARAS,30 - 34,7355,6817,,
REGION VI (WESTERN VISAYAS),GUIMARAS,35 - 39,6819,6028,,
REGION VI (WESTERN VISAYAS),GUIMARAS,45 - 49,5201,4769,,
REGION VI (WESTERN VISAYAS),GUIMARAS,50 - 54,4589,4277,,
REGION VI (WESTERN VISAYAS),GUIMARAS,55 - 59,4098,3985,,
REGION VI (WESTERN VISAYAS),GUIMARAS,>= 80,963,1862,,
REGION VI (WESTERN VISAYAS),GUIMARAS,40 - 44,6083,5151,,
REGION VI (WESTERN VISAYAS),GUIMARAS,65 - 69,2504,2589,,
REGION VI (WESTERN VISAYAS),GUIMARAS,60 - 64,3486,3434,,
REGION VI (WESTERN VISAYAS),GUIMARAS,0 - 4,9177,8572,,
REGION VI (WESTERN VISAYAS),GUIMARAS,15 - 19,8689,8225,,
REGION VI (WESTERN VISAYAS),GUIMARAS,5 - 9,9435,8755,,
REGION VI (WESTERN VISAYAS),GUIMARAS,20 - 24,8398,7582,,
REGION VI (WESTERN VISAYAS),GUIMARAS,75 - 79,965,1350,,
REGION VI (WESTERN VISAYAS),GUIMARAS,70 - 74,1575,1927,,
REGION VI (WESTERN VISAYAS),GUIMARAS,10 - 14,9139,8671,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,75 - 79,707,988,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,>= 80,978,1580,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,70 - 74,1361,1476,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,65 - 69,2321,2364,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,60 - 64,2951,3081,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,55 - 59,3734,3519,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,45 - 49,5215,4251,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,40 - 44,6171,5177,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,50 - 54,4351,4047,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,30 - 34,8410,7313,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,25 - 29,9709,8667,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,20 - 24,10216,9538,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,15 - 19,10901,10318,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,10 - 14,11389,10846,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,5 - 9,11484,10434,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,0 - 4,10538,9886,,
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,35 - 39,7263,5946,,
REGION I (ILOCOS REGION),ILOCOS NORTE,30 - 34,23258,22137,,
REGION I (ILOCOS REGION),ILOCOS NORTE,5 - 9,25721,23494,,
REGION I (ILOCOS REGION),ILOCOS NORTE,10 - 14,28773,26462,,
REGION I (ILOCOS REGION),ILOCOS NORTE,15 - 19,27985,26020,,
REGION I (ILOCOS REGION),ILOCOS NORTE,20 - 24,26963,25119,,
REGION I (ILOCOS REGION),ILOCOS NORTE,25 - 29,24526,23711,,
REGION I (ILOCOS REGION),ILOCOS NORTE,70 - 74,5597,7792,,
REGION I (ILOCOS REGION),ILOCOS NORTE,75 - 79,3767,5982,,
REGION I (ILOCOS REGION),ILOCOS NORTE,40 - 44,20269,19165,,
REGION I (ILOCOS REGION),ILOCOS NORTE,45 - 49,18063,17278,,
REGION I (ILOCOS REGION),ILOCOS NORTE,50 - 54,16815,16553,,
REGION I (ILOCOS REGION),ILOCOS NORTE,55 - 59,13881,14458,,
REGION I (ILOCOS REGION),ILOCOS NORTE,60 - 64,11249,12428,,
REGION I (ILOCOS REGION),ILOCOS NORTE,65 - 69,8154,9924,,
REGION I (ILOCOS REGION),ILOCOS NORTE,0 - 4,24053,22501,,
REGION I (ILOCOS REGION),ILOCOS NORTE,35 - 39,22815,21345,,
REGION I (ILOCOS REGION),ILOCOS NORTE,>= 80,4103,8147,,
REGION I (ILOCOS REGION),ILOCOS SUR,5 - 9,31219,28769,,
REGION I (ILOCOS REGION),ILOCOS SUR,>= 80,4403,9478,,
REGION I (ILOCOS REGION),ILOCOS SUR,75 - 79,3871,6759,,
REGION I (ILOCOS REGION),ILOCOS SUR,70 - 74,6405,8761,,
REGION I (ILOCOS REGION),ILOCOS SUR,65 - 69,9805,11665,,
REGION I (ILOCOS REGION),ILOCOS SUR,60 - 64,13447,14228,,
REGION I (ILOCOS REGION),ILOCOS SUR,55 - 59,16717,16482,,
REGION I (ILOCOS REGION),ILOCOS SUR,50 - 54,19212,18087,,
REGION I (ILOCOS REGION),ILOCOS SUR,40 - 44,23795,22030,,
REGION I (ILOCOS REGION),ILOCOS SUR,35 - 39,25568,24152,,
REGION I (ILOCOS REGION),ILOCOS SUR,30 - 34,26429,24806,,
REGION I (ILOCOS REGION),ILOCOS SUR,25 - 29,29079,27189,,
REGION I (ILOCOS REGION),ILOCOS SUR,20 - 24,30445,28336,,
REGION I (ILOCOS REGION),ILOCOS SUR,15 - 19,33297,31186,,
REGION I (ILOCOS REGION),ILOCOS SUR,10 - 14,33965,31767,,
REGION I (ILOCOS REGION),ILOCOS SUR,0 - 4,27602,25414,,
REGION I (ILOCOS REGION),ILOCOS SUR,45 - 49,20548,19302,,
REGION VI (WESTERN VISAYAS),ILOILO,>= 80,12036,26133,,
REGION VI (WESTERN VISAYAS),ILOILO,70 - 74,20495,28463,,
REGION VI (WESTERN VISAYAS),ILOILO,0 - 4,119217,112123,,
REGION VI (WESTERN VISAYAS),ILOILO,5 - 9,125378,115487,,
REGION VI (WESTERN VISAYAS),ILOILO,10 - 14,124987,116365,,
REGION VI (WESTERN VISAYAS),ILOILO,15 - 19,119537,112520,,
REGION VI (WESTERN VISAYAS),ILOILO,20 - 24,112552,106689,,
REGION VI (WESTERN VISAYAS),ILOILO,25 - 29,103584,96889,,
REGION VI (WESTERN VISAYAS),ILOILO,75 - 79,12370,20191,,
REGION VI (WESTERN VISAYAS),ILOILO,30 - 34,96367,88365,,
REGION VI (WESTERN VISAYAS),ILOILO,40 - 44,78470,71127,,
REGION VI (WESTERN VISAYAS),ILOILO,45 - 49,67143,62929,,
REGION VI (WESTERN VISAYAS),ILOILO,50 - 54,61230,59955,,
REGION VI (WESTERN VISAYAS),ILOILO,55 - 59,53149,53947,,
REGION VI (WESTERN VISAYAS),ILOILO,60 - 64,43583,47410,,
REGION VI (WESTERN VISAYAS),ILOILO,65 - 69,31692,37646,,
REGION VI (WESTERN VISAYAS),ILOILO,35 - 39,86179,79118,,
REGION II (CAGAYAN VALLEY),ISABELA,30 - 34,65846,61594,,
REGION II (CAGAYAN VALLEY),ISABELA,75 - 79,5860,9172,,
REGION II (CAGAYAN VALLEY),ISABELA,65 - 69,19555,22071,,
REGION II (CAGAYAN VALLEY),ISABELA,0 - 4,79424,75201,,
REGION II (CAGAYAN VALLEY),ISABELA,5 - 9,85694,79255,,
REGION II (CAGAYAN VALLEY),ISABELA,15 - 19,81649,76710,,
REGION II (CAGAYAN VALLEY),ISABELA,20 - 24,77409,73730,,
REGION II (CAGAYAN VALLEY),ISABELA,25 - 29,72534,69159,,
REGION II (CAGAYAN VALLEY),ISABELA,>= 80,5556,10835,,
REGION II (CAGAYAN VALLEY),ISABELA,10 - 14,87154,81807,,
REGION II (CAGAYAN VALLEY),ISABELA,40 - 44,55667,51724,,
REGION II (CAGAYAN VALLEY),ISABELA,45 - 49,48330,44884,,
REGION II (CAGAYAN VALLEY),ISABELA,50 - 54,42866,41056,,
REGION II (CAGAYAN VALLEY),ISABELA,55 - 59,36940,35887,,
REGION II (CAGAYAN VALLEY),ISABELA,60 - 64,29420,29652,,
REGION II (CAGAYAN VALLEY),ISABELA,35 - 39,58106,54485,,
REGION II (CAGAYAN VALLEY),ISABELA,70 - 74,11513,14794,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,35 - 39,7500,6564,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,0 - 4,11517,10701,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,5 - 9,12261,11359,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,10 - 14,12607,11566,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,15 - 19,12376,11820,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,20 - 24,11630,10905,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,25 - 29,10366,9460,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,30 - 34,9082,7771,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,40 - 44,6698,5838,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,50 - 54,5022,4826,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,55 - 59,4287,3992,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,60 - 64,3387,3565,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,65 - 69,2587,2601,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,70 - 74,1574,1811,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,75 - 79,952,1222,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,>= 80,1026,1541,,
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,45 - 49,5667,5247,,
REGION I (ILOCOS REGION),LA UNION,75 - 79,3723,6007,,
REGION I (ILOCOS REGION),LA UNION,70 - 74,7154,9715,,
REGION I (ILOCOS REGION),LA UNION,65 - 69,10902,12642,,
REGION I (ILOCOS REGION),LA UNION,60 - 64,15622,16549,,
REGION I (ILOCOS REGION),LA UNION,55 - 59,18730,18837,,
REGION I (ILOCOS REGION),LA UNION,50 - 54,21755,20872,,
REGION I (ILOCOS REGION),LA UNION,45 - 49,23336,22030,,
REGION I (ILOCOS REGION),LA UNION,20 - 24,37253,35092,,
REGION I (ILOCOS REGION),LA UNION,30 - 34,31215,29745,,
REGION I (ILOCOS REGION),LA UNION,25 - 29,34309,32533,,
REGION I (ILOCOS REGION),LA UNION,15 - 19,38729,36296,,
REGION I (ILOCOS REGION),LA UNION,10 - 14,39168,36319,,
REGION I (ILOCOS REGION),LA UNION,5 - 9,37891,34761,,
REGION I (ILOCOS REGION),LA UNION,0 - 4,35210,32691,,
REGION I (ILOCOS REGION),LA UNION,35 - 39,29443,27878,,
REGION I (ILOCOS REGION),LA UNION,>= 80,3855,8397,,
REGION I (ILOCOS REGION),LA UNION,40 - 44,26567,25117,,
REGION IV-A (CALABARZON),LAGUNA,75 - 79,8167,14396,,
REGION IV-A (CALABARZON),LAGUNA,>= 80,6015,15066,,
REGION IV-A (CALABARZON),LAGUNA,0 - 4,161520,150557,,
REGION IV-A (CALABARZON),LAGUNA,5 - 9,164023,152616,,
REGION IV-A (CALABARZON),LAGUNA,10 - 14,160063,149177,,
REGION IV-A (CALABARZON),LAGUNA,15 - 19,149221,140810,,
REGION IV-A (CALABARZON),LAGUNA,20 - 24,161193,157333,,
REGION IV-A (CALABARZON),LAGUNA,25 - 29,161350,159261,,
REGION IV-A (CALABARZON),LAGUNA,70 - 74,17753,25172,,
REGION IV-A (CALABARZON),LAGUNA,35 - 39,129600,128868,,
REGION IV-A (CALABARZON),LAGUNA,40 - 44,115663,114897,,
REGION IV-A (CALABARZON),LAGUNA,45 - 49,91800,89754,,
REGION IV-A (CALABARZON),LAGUNA,50 - 54,77260,79416,,
REGION IV-A (CALABARZON),LAGUNA,55 - 59,61354,67027,,
REGION IV-A (CALABARZON),LAGUNA,60 - 64,49205,55609,,
REGION IV-A (CALABARZON),LAGUNA,65 - 69,31981,39884,,
REGION IV-A (CALABARZON),LAGUNA,30 - 34,146034,141091,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,70 - 74,5516,6641,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,65 - 69,9507,10289,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,60 - 64,13801,14239,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,55 - 59,17378,17340,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,50 - 54,20921,21327,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,45 - 49,24582,24005,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,25 - 29,44908,45815,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,35 - 39,32147,31258,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,30 - 34,38158,36781,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,20 - 24,50575,51262,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,15 - 19,56730,57202,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,10 - 14,62988,60827,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,5 - 9,66886,63986,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,40 - 44,28824,28079,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,0 - 4,66015,62786,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,75 - 79,2729,3820,,
REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,>= 80,2396,4180,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,>= 80,1478,1636,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,70 - 74,3124,2875,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,65 - 69,5631,5336,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,60 - 64,7978,7368,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,55 - 59,11006,9794,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,50 - 54,16806,15845,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,45 - 49,22367,22257,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,40 - 44,27422,28439,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,35 - 39,30804,32829,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,30 - 34,36560,39311,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,25 - 29,48460,52958,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,20 - 24,59822,63988,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,15 - 19,67541,70013,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,10 - 14,77105,79128,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,5 - 9,80242,80334,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,75 - 79,1633,1492,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,0 - 4,92535,90390,,
REGION VIII (EASTERN VISAYAS),LEYTE,10 - 14,111866,103873,,
REGION VIII (EASTERN VISAYAS),LEYTE,15 - 19,103060,98570,,
REGION VIII (EASTERN VISAYAS),LEYTE,20 - 24,90648,85429,,
REGION VIII (EASTERN VISAYAS),LEYTE,25 - 29,79727,75366,,
REGION VIII (EASTERN VISAYAS),LEYTE,30 - 34,70934,65161,,
REGION VIII (EASTERN VISAYAS),LEYTE,35 - 39,63673,57003,,
REGION VIII (EASTERN VISAYAS),LEYTE,40 - 44,58490,52909,,
REGION VIII (EASTERN VISAYAS),LEYTE,45 - 49,51398,47514,,
REGION VIII (EASTERN VISAYAS),LEYTE,50 - 54,46637,44800,,
REGION VIII (EASTERN VISAYAS),LEYTE,55 - 59,41523,39633,,
REGION VIII (EASTERN VISAYAS),LEYTE,60 - 64,34640,34903,,
REGION VIII (EASTERN VISAYAS),LEYTE,65 - 69,24146,26630,,
REGION VIII (EASTERN VISAYAS),LEYTE,70 - 74,15660,19694,,
REGION VIII (EASTERN VISAYAS),LEYTE,75 - 79,8902,13258,,
REGION VIII (EASTERN VISAYAS),LEYTE,>= 80,7075,13876,,
REGION VIII (EASTERN VISAYAS),LEYTE,0 - 4,110292,103424,,
REGION VIII (EASTERN VISAYAS),LEYTE,5 - 9,114169,105543,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,75 - 79,2093,2182,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,>= 80,1916,2435,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,60 - 64,11302,10148,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,55 - 59,16181,13588,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,50 - 54,24766,20832,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,45 - 49,33424,31066,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,40 - 44,43103,41421,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,65 - 69,7377,6644,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,35 - 39,47340,49836,,
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,25 - 29,67472,71108,,
